Unnamed: 0,Country,Player,Team,Base price,Winning bid,Year,team
528,India,Anureet Singh,Rajasthan Royals,30.0,30,2018,Rajasthan Royals
529,India,Narayan Jagadeesan,Chennai Super Kings,20.0,20,2018,Chennai Super Kings
530,Afghanistan,Zahir Khan Pakteen,Rajasthan Royals,20.0,60,2018,Rajasthan Royals
531,South Africa,Jean-Paul Duminy,Mumbai Indians,100.0,100,2018,Mumbai Indians
532,England,Chris Jordan,Sunrisers Hyderabad,100.0,100,2018,Sunrisers Hyderabad
533,New Zealand,Mitchell Santner,Chennai Super Kings,50.0,50,2018,Chennai Super Kings
534,Australia,Jason Behrendorff,Mumbai Indians,100.0,150,2018,Mumbai Indians
535,India,Barinder Sran,Punjab Kings,50.0,220,2018,Punjab Kings
536,Australia,Billy Stanlake,Sunrisers Hyderabad,50.0,50,2018,Sunrisers Hyderabad
537,Australia,Andrew Tye,Punjab Kings,100.0,720,2018,Punjab Kings
538,India,Tanmay Agarwal,Sunrisers Hyderabad,20.0,20,2018,Sunrisers Hyderabad
539,India,Deepak Chahar,Chennai Super Kings,20.0,80,2018,Chennai Super Kings
540,South Africa,Cameron Delport,Kolkata Knight Riders,30.0,30,2018,Kolkata Knight Riders
541,India,Tajinder Singh,Mumbai Indians,20.0,55,2018,Mumbai Indians
542,India,Shreyas Gopal,Rajasthan Royals,20.0,20,2018,Rajasthan Royals
543,India,Akshdeep Nath,Punjab Kings,20.0,100,2018,Punjab Kings
544,India,Shreevats Goswami,Sunrisers Hyderabad,20.0,100,2018,Sunrisers Hyderabad
545,Australia,Ben Dwarshuis,Punjab Kings,20.0,140,2018,Punjab Kings
546,India,KM Asif,Chennai Super Kings,20.0,40,2018,Chennai Super Kings
547,Nepal,Sandeep Lamichhane,Delhi Capitals,20.0,20,2018,Delhi Capitals
548,South Africa,Lungisani Ngidi,Chennai Super Kings,50.0,50,2018,Chennai Super Kings
549,India,Sharad Lumba,Mumbai Indians,20.0,20,2018,Mumbai Indians
550,India,Kanishk Seth,Chennai Super Kings,20.0,20,2018,Chennai Super Kings
551,India,Dhruv Shorey,Chennai Super Kings,20.0,20,2018,Chennai Super Kings
552,India,Aniruddha Joshi,Royal Challengers Bangalore,20.0,20,2018,Royal Challengers Bengaluru
553,India,Sudhesan Midhun,Rajasthan Royals,20.0,20,2018,Rajasthan Royals
554,India,Murali Vijay,Chennai Super Kings,200.0,200,2018,Chennai Super Kings
555,England,Sam Billings,Chennai Super Kings,100.0,100,2018,Chennai Super Kings
556,India,Naman Ojha,Delhi Capitals,75.0,140,2018,Delhi Capitals
557,India,Parthiv Patel,Royal Challengers Bangalore,100.0,170,2018,Royal Challengers Bengaluru
558,Australia,Mitchell Johnson,Kolkata Knight Riders,200.0,200,2018,Kolkata Knight Riders
559,New Zealand,Tim Southee,Royal Challengers Bangalore,100.0,100,2018,Royal Challengers Bengaluru
560,India,Siddhesh Lad,Mumbai Indians,20.0,20,2018,Mumbai Indians
561,India,Prashant Chopra,Rajasthan Royals,20.0,20,2018,Rajasthan Royals
562,India,Aditya Tare,Mumbai Indians,20.0,20,2018,Mumbai Indians
563,India,Bipul Sharma,Sunrisers Hyderabad,20.0,20,2018,Sunrisers Hyderabad
564,India,Sayan Ghosh,Delhi Capitals,20.0,20,2018,Delhi Capitals
565,India,Mayank Markande,Mumbai Indians,20.0,20,2018,Mumbai Indians
566,Australia,Ben Laughlin,Rajasthan Royals,50.0,50,2018,Rajasthan Royals
567,Sri Lanka,Akila Dananjaya,Mumbai Indians,50.0,50,2018,Mumbai Indians
568,India,Pardeep Sahu,Punjab Kings,20.0,20,2018,Punjab Kings
569,India,Mayank Dagar,Punjab Kings,20.0,20,2018,Punjab Kings
570,India,Anukul Roy,Mumbai Indians,20.0,20,2018,Mumbai Indians
571,England,Mark Wood,Chennai Super Kings,150.0,150,2018,Chennai Super Kings
572,India,Mahipal Lomror,Rajasthan Royals,20.0,20,2018,Rajasthan Royals
573,India,Mohsin Khan,Mumbai Indians,20.0,20,2018,Mumbai Indians
574,India,Mehdi Hasan,Sunrisers Hyderabad,20.0,20,2018,Sunrisers Hyderabad
575,India,Kshitiz Sharma,Chennai Super Kings,20.0,20,2018,Chennai Super Kings
576,India,Monu Kumar,Chennai Super Kings,20.0,20,2018,Chennai Super Kings
577,India,Chaitanya Bishnoi,Chennai Super Kings,20.0,20,2018,Chennai Super Kings
578,India,Jatin Saxena,Rajasthan Royals,20.0,20,2018,Rajasthan Royals
579,India,Aryaman Birla,Rajasthan Royals,20.0,30,2018,Rajasthan Royals
580,India,Pavan Deshpande,Royal Challengers Bangalore,20.0,20,2018,Royal Challengers Bengaluru
581,Jamaica,Chris Gayle,Punjab Kings,200.0,200,2018,Punjab Kings
582,Sri Lanka,Dushmantha Chameera,Rajasthan Royals,50.0,50,2018,Rajasthan Royals
583,India,M. D. Nidheesh,Mumbai Indians,20.0,20,2018,Mumbai Indians
584,India,Manzoor Dar,Punjab Kings,20.0,20,2018,Punjab Kings
585,Barbados,Javon Searles,Kolkata Knight Riders,30.0,30,2018,Kolkata Knight Riders
586,India,Hanuma Vihari,Delhi Capitals,50.0,200,2019,Delhi Capitals
587,Guyana,Shimron Hetmyer,Royal Challengers Bangalore,50.0,420,2019,Royal Challengers Bengaluru
588,Barbados,Carlos Brathwaite,Kolkata Knight Riders,75.0,500,2019,Kolkata Knight Riders
589,India,Gurkeerat Singh,Royal Challengers Bangalore,50.0,50,2019,Royal Challengers Bengaluru
590,Australia,Moises Henriques,Punjab Kings,100.0,100,2019,Punjab Kings
591,India,Axar Patel,Delhi Capitals,100.0,500,2019,Delhi Capitals
592,England,Jonny Bairstow,Sunrisers Hyderabad,150.0,220,2019,Sunrisers Hyderabad
593,Trinidad and Tobago,Nicholas Pooran,Punjab Kings,75.0,420,2019,Punjab Kings
594,India,Wriddhiman Saha,Sunrisers Hyderabad,100.0,120,2019,Sunrisers Hyderabad
595,India,Jaydev Unadkat,Rajasthan Royals,150.0,840,2019,Rajasthan Royals
596,India,Ishant Sharma,Delhi Capitals,75.0,110,2019,Delhi Capitals
597,Sri Lanka,Lasith Malinga,Mumbai Indians,200.0,200,2019,Mumbai Indians
598,India,Mohammad Shami,Punjab Kings,100.0,480,2019,Punjab Kings
599,India,Varun Aaron,Rajasthan Royals,50.0,240,2019,Rajasthan Royals
600,India,Mohit Sharma,Chennai Super Kings,50.0,500,2019,Chennai Super Kings
601,India,Devdutt Padikkal,Royal Challengers Bangalore,20.0,20,2019,Royal Challengers Bengaluru
602,India,Anmolpreet Singh,Mumbai Indians,20.0,80,2019,Mumbai Indians
603,India,Sarfaraz Khan,Punjab Kings,20.0,25,2019,Punjab Kings
604,India,Shivam Dube,Royal Challengers Bangalore,20.0,500,2019,Royal Challengers Bengaluru
605,India,Varun Chakravarthy,Punjab Kings,20.0,840,2019,Punjab Kings
606,India,Ankush Bains,Delhi Capitals,20.0,20,2019,Delhi Capitals
607,India,Nathu Singh,Delhi Capitals,20.0,20,2019,Delhi Capitals
608,South Africa,Colin Ingram,Delhi Capitals,200.0,640,2019,Delhi Capitals
609,England,Sam Curran,Punjab Kings,200.0,720,2019,Punjab Kings
610,South Africa,Heinrich Klaasen,Royal Challengers Bangalore,50.0,50,2019,Royal Challengers Bengaluru
611,India,Barinder Sran,Mumbai Indians,50.0,340,2019,Mumbai Indians
612,New Zealand,Lockie Ferguson,Kolkata Knight Riders,100.0,160,2019,Kolkata Knight Riders
613,Guyana,Sherfane Rutherford,Delhi Capitals,40.0,200,2019,Delhi Capitals
614,South Africa,Anrich Nortje,Kolkata Knight Riders,20.0,20,2019,Kolkata Knight Riders
615,Jamaica,Oshane Thomas,Rajasthan Royals,50.0,110,2019,Rajasthan Royals
616,South Africa,Hardus Viljoen,Punjab Kings,75.0,75,2019,Punjab Kings
617,India,Himmat Singh,Royal Challengers Bangalore,20.0,65,2019,Royal Challengers Bengaluru
618,India,Nikhil Naik,Kolkata Knight Riders,20.0,20,2019,Kolkata Knight Riders
619,India,Arshdeep Singh,Punjab Kings,20.0,20,2019,Punjab Kings
620,England,Harry Gurney,Kolkata Knight Riders,75.0,75,2019,Kolkata Knight Riders
621,India,Pankaj Jaiswal,Mumbai Indians,20.0,20,2019,Mumbai Indians
622,India,Milind Kumar,Royal Challengers Bangalore,20.0,20,2019,Royal Challengers Bengaluru
623,India,Darshan Nalkande,Punjab Kings,20.0,30,2019,Punjab Kings
624,India,Shashank Singh,Rajasthan Royals,20.0,30,2019,Rajasthan Royals
625,India,Prab Simran Singh,Punjab Kings,20.0,480,2019,Punjab Kings
626,India,Rasikh Salam,Mumbai Indians,20.0,20,2019,Mumbai Indians
627,India,Prithvi Raj Yarra,Kolkata Knight Riders,20.0,20,2019,Kolkata Knight Riders
628,England,Liam Livingstone,Rajasthan Royals,50.0,50,2019,Rajasthan Royals
629,Guyana,Keemo Paul,Delhi Capitals,50.0,50,2019,Delhi Capitals
630,India,Prayas Ray Barman,Royal Challengers Bangalore,20.0,150,2019,Royal Challengers Bengaluru
631,India,Agnivesh Ayachi,Punjab Kings,20.0,20,2019,Punjab Kings
632,India,Harpreet Brar,Punjab Kings,20.0,20,2019,Punjab Kings
633,New Zealand,Martin Guptill,Sunrisers Hyderabad,100.0,100,2019,Sunrisers Hyderabad
634,India,Yuvraj Singh,Mumbai Indians,100.0,100,2019,Mumbai Indians
635,India,Akshdeep Nath,Royal Challengers Bangalore,20.0,360,2019,Royal Challengers Bengaluru
636,India,Jalaj Saxena,Delhi Capitals,20.0,20,2019,Delhi Capitals
637,India,Murugan Ashwin,Punjab Kings,20.0,20,2019,Punjab Kings
638,India,Ruturaj Gaikwad,Chennai Super Kings,20.0,20,2019,Chennai Super Kings
639,India,Shubham Ranjane,Rajasthan Royals,20.0,20,2019,Rajasthan Royals
640,England,Joe Denly,Kolkata Knight Riders,100.0,100,2019,Kolkata Knight Riders
641,India,Bandaru Ayyappa,Delhi Capitals,20.0,20,2019,Delhi Capitals
642,India,Shrikant Mundhe,Kolkata Knight Riders,20.0,20,2019,Kolkata Knight Riders
643,India,Manan Vohra,Rajasthan Royals,20.0,20,2019,Rajasthan Royals
644,Australia,Ashton Turner,Rajasthan Royals,50.0,50,2019,Rajasthan Royals
645,India,Riyan Parag,Rajasthan Royals,20.0,20,2019,Rajasthan Royals
646,Australia,Chris Lynn,Mumbai Indians,200.0,200,2020,Mumbai Indians
647,England,Eoin Morgan,Kolkata Knight Riders,200.0,525,2020,Kolkata Knight Riders
648,India,Robin Uthappa,Rajasthan Royals,150.0,300,2020,Rajasthan Royals
649,England,Jason Roy,Delhi Capitals,150.0,150,2020,Delhi Capitals
650,Australia,Aaron Finch,Royal Challengers Bangalore,100.0,440,2020,Royal Challengers Bengaluru
651,Australia,Glenn Maxwell,Punjab Kings,200.0,1075,2020,Punjab Kings
652,England,Chris Woakes,Delhi Capitals,150.0,150,2020,Delhi Capitals
653,Australia,Pat Cummins,Kolkata Knight Riders,200.0,1550,2020,Kolkata Knight Riders
654,England,Sam Curran,Chennai Super Kings,100.0,550,2020,Chennai Super Kings
655,South Africa,Chris Morris,Royal Challengers Bangalore,150.0,1000,2020,Royal Challengers Bengaluru
656,Australia,Alex Carey,Delhi Capitals,50.0,240,2020,Delhi Capitals
657,India,Jaydev Unadkat,Rajasthan Royals,100.0,300,2020,Rajasthan Royals
658,Australia,Nathan Coulter-Nile,Mumbai Indians,100.0,800,2020,Mumbai Indians
659,Jamaica,Sheldon Cottrell,Punjab Kings,50.0,850,2020,Punjab Kings
660,India,Piyush Chawla,Chennai Super Kings,100.0,675,2020,Chennai Super Kings
661,India,Rahul Tripathi,Kolkata Knight Riders,20.0,60,2020,Kolkata Knight Riders
662,India,Virat Singh,Sunrisers Hyderabad,20.0,190,2020,Sunrisers Hyderabad
663,India,Priyam Garg,Sunrisers Hyderabad,20.0,190,2020,Sunrisers Hyderabad
664,India,Deepak Hooda,Punjab Kings,40.0,50,2020,Punjab Kings
665,India,Varun Chakravarthy,Kolkata Knight Riders,30.0,400,2020,Kolkata Knight Riders
666,India,Yashasvi Jaiswal,Rajasthan Royals,20.0,240,2020,Rajasthan Royals
667,India,Anuj Rawat,Rajasthan Royals,20.0,80,2020,Rajasthan Royals
668,India,Akash Singh,Rajasthan Royals,20.0,20,2020,Rajasthan Royals
669,India,Kartik Tyagi,Rajasthan Royals,20.0,130,2020,Rajasthan Royals
670,India,Ishan Porel,Punjab Kings,20.0,20,2020,Punjab Kings
671,India,M Siddharth,Kolkata Knight Riders,20.0,20,2020,Kolkata Knight Riders
672,India,Ravi Bishnoi,Punjab Kings,20.0,200,2020,Punjab Kings
673,Guyana,Shimron Hetmyer,Delhi Capitals,50.0,775,2020,Delhi Capitals
674,South Africa,David Miller,Rajasthan Royals,75.0,75,2020,Rajasthan Royals
675,India,Saurabh Tiwary,Mumbai Indians,50.0,50,2020,Mumbai Indians
676,Australia,Mitchell Marsh,Sunrisers Hyderabad,200.0,200,2020,Sunrisers Hyderabad
677,New Zealand,James Neesham,Punjab Kings,50.0,50,2020,Punjab Kings
678,Australia,Josh Hazlewood,Chennai Super Kings,200.0,200,2020,Chennai Super Kings
679,India,Bavanaka Sandeep,Sunrisers Hyderabad,20.0,20,2020,Sunrisers Hyderabad
680,Australia,Chris Green,Kolkata Knight Riders,20.0,20,2020,Kolkata Knight Riders
681,Australia,Josh Philippe,Royal Challengers Bangalore,20.0,20,2020,Royal Challengers Bengaluru
682,India,Mohsin Khan,Mumbai Indians,20.0,20,2020,Mumbai Indians
683,England,Tom Banton,Kolkata Knight Riders,100.0,100,2020,Kolkata Knight Riders
684,Jamaica,Fabian Allen,Sunrisers Hyderabad,50.0,50,2020,Sunrisers Hyderabad
685,England,Chris Jordan,Punjab Kings,75.0,300,2020,Punjab Kings
686,Australia,Kane Richardson,Royal Challengers Bangalore,150.0,400,2020,Royal Challengers Bengaluru
687,Jamaica,Oshane Thomas,Rajasthan Royals,50.0,50,2020,Rajasthan Royals
688,India,Pravin Tambe,Kolkata Knight Riders,20.0,20,2020,Kolkata Knight Riders
689,India,Tajinder Singh Dhillon,Punjab Kings,20.0,20,2020,Punjab Kings
690,India,Abdul Samad,Sunrisers Hyderabad,20.0,20,2020,Sunrisers Hyderabad
691,India,Aniruddha Joshi,Rajasthan Royals,20.0,20,2020,Rajasthan Royals
692,India,Digvijay Deshmukh,Mumbai Indians,20.0,20,2020,Mumbai Indians
693,India,Prince Balwant Rai,Mumbai Indians,20.0,20,2020,Mumbai Indians
694,India,Sanjay Yadav,Sunrisers Hyderabad,20.0,20,2020,Sunrisers Hyderabad
695,India,Mohit Sharma,Delhi Capitals,50.0,50,2020,Delhi Capitals
696,India,Pavan Deshpande,Royal Challengers Bangalore,20.0,20,2020,Royal Challengers Bengaluru
697,India,Prab Simran Singh,Punjab Kings,20.0,55,2020,Punjab Kings
698,India,Tushar Deshpande,Delhi Capitals,20.0,20,2020,Delhi Capitals
699,India,R Sai Kishore,Chennai Super Kings,20.0,20,2020,Chennai Super Kings
700,Australia,Marcus Stoinis,Delhi Capitals,100.0,480,2020,Delhi Capitals
701,South Africa,Dale Steyn,Royal Challengers Bangalore,200.0,200,2020,Royal Challengers Bengaluru
702,Australia,Andrew Tye,Rajasthan Royals,100.0,100,2020,Rajasthan Royals
703,India,Lalit Yadav,Delhi Capitals,20.0,20,2020,Delhi Capitals
704,India,Shahbaz Ahmed,Royal Challengers Bangalore,20.0,20,2020,Royal Challengers Bengaluru
705,India,Nikhil Naik,Kolkata Knight Riders,20.0,20,2020,Kolkata Knight Riders
706,England,Tom Curran,Rajasthan Royals,100.0,100,2020,Rajasthan Royals
707,Sri Lanka,Isuru Udana,Royal Challengers Bangalore,50.0,50,2020,Royal Challengers Bengaluru
708,Australia,Steve Smith,Delhi Capitals,200.0,220,2021,Delhi Capitals
709,Australia,Glenn Maxwell,Royal Challengers Bangalore,200.0,1425,2021,Royal Challengers Bengaluru
710,Bangladesh,Shakib Al Hasan,Kolkata Knight Riders,200.0,320,2021,Kolkata Knight Riders
711,England,Moeen Ali,Chennai Super Kings,200.0,700,2021,Chennai Super Kings
712,India,Shivam Dube,Rajasthan Royals,50.0,440,2021,Rajasthan Royals
713,South Africa,Chris Morris,Rajasthan Royals,75.0,1625,2021,Rajasthan Royals
714,England,Dawid Malan,Punjab Kings,150.0,150,2021,Punjab Kings
715,New Zealand,Adam Milne,Mumbai Indians,50.0,320,2021,Mumbai Indians
716,Bangladesh,Mustafizur Rahman,Rajasthan Royals,100.0,100,2021,Rajasthan Royals
717,Australia,Jhye Richardson,Punjab Kings,150.0,1400,2021,Punjab Kings
718,Australia,Nathan Coulter-Nile,Mumbai Indians,150.0,500,2021,Mumbai Indians
719,India,Umesh Yadav,Delhi Capitals,100.0,100,2021,Delhi Capitals
720,India,Piyush Chawla,Mumbai Indians,50.0,240,2021,Mumbai Indians
721,India,Sachin Baby,Royal Challengers Bangalore,20.0,20,2021,Royal Challengers Bengaluru
722,India,Rajat Patidar,Royal Challengers Bangalore,20.0,20,2021,Royal Challengers Bengaluru
723,India,Ripal Patel,Delhi Capitals,20.0,20,2021,Delhi Capitals
724,India,Shahrukh Khan,Punjab Kings,20.0,525,2021,Punjab Kings
725,India,Krishnappa Gowtham,Chennai Super Kings,20.0,925,2021,Chennai Super Kings
726,India,Vishnu Vinod,Delhi Capitals,20.0,20,2021,Delhi Capitals
727,India,Sheldon Jackson,Kolkata Knight Riders,20.0,20,2021,Kolkata Knight Riders
728,India,Mohammed Azharuddeen,Royal Challengers Bangalore,20.0,20,2021,Royal Challengers Bengaluru
729,India,Lukman Hussain Meriwala,Delhi Capitals,20.0,20,2021,Delhi Capitals
730,India,Chetan Sakariya,Rajasthan Royals,20.0,120,2021,Rajasthan Royals
731,Australia,Riley Meredith,Punjab Kings,40.0,800,2021,Punjab Kings
732,India,Manimaran Siddharth,Delhi Capitals,20.0,20,2021,Delhi Capitals
733,India,Jagadeesha Suchith,Sunrisers Hyderabad,20.0,30,2021,Sunrisers Hyderabad
734,India,K. C. Cariappa,Rajasthan Royals,20.0,20,2021,Rajasthan Royals
735,India,Cheteshwar Pujara,Chennai Super Kings,50.0,50,2021,Chennai Super Kings
736,New Zealand,Kyle Jamieson,Royal Challengers Bangalore,75.0,1500,2021,Royal Challengers Bengaluru
737,England,Tom Curran,Delhi Capitals,150.0,525,2021,Delhi Capitals
738,Australia,Moises Henriques,Punjab Kings,100.0,420,2021,Punjab Kings
739,India,Jalaj Saxena,Punjab Kings,20.0,30,2021,Punjab Kings
740,India,Utkarsh Singh,Punjab Kings,20.0,20,2021,Punjab Kings
741,India,Vaibhav Arora,Kolkata Knight Riders,20.0,20,2021,Kolkata Knight Riders
742,Jamaica,Fabian Allen,Punjab Kings,75.0,75,2021,Punjab Kings
743,Australia,Dan Christian,Royal Challengers Bangalore,75.0,480,2021,Royal Challengers Bengaluru
744,England,Liam Livingstone,Rajasthan Royals,75.0,75,2021,Rajasthan Royals
745,India,Suyash Prabhudessai,Royal Challengers Bangalore,20.0,20,2021,Royal Challengers Bengaluru
746,India,Kona Srikar Bharat,Royal Challengers Bangalore,20.0,20,2021,Royal Challengers Bengaluru
747,India,Harishankar Reddy,Chennai Super Kings,20.0,20,2021,Chennai Super Kings
748,India,Kuldip Yadav,Rajasthan Royals,20.0,20,2021,Rajasthan Royals
749,New Zealand,James Neesham,Mumbai Indians,50.0,50,2021,Mumbai Indians
750,India,Yudhvir Charak,Mumbai Indians,20.0,20,2021,Mumbai Indians
751,India,Bhagath Varma,Chennai Super Kings,20.0,20,2021,Chennai Super Kings
752,South Africa,Marco Jansen,Mumbai Indians,20.0,20,2021,Mumbai Indians
753,India,Saurabh Kumar,Punjab Kings,20.0,20,2021,Punjab Kings
754,India,Karun Nair,Kolkata Knight Riders,50.0,50,2021,Kolkata Knight Riders
755,India,Kedar Jadhav,Sunrisers Hyderabad,200.0,200,2021,Sunrisers Hyderabad
756,England,Sam Billings,Delhi Capitals,200.0,200,2021,Delhi Capitals
757,Afghanistan,Mujeeb Ur Rahman,Sunrisers Hyderabad,150.0,150,2021,Sunrisers Hyderabad
758,India,Harbhajan Singh,Kolkata Knight Riders,200.0,200,2021,Kolkata Knight Riders
759,India,Chezhian Harinishanth,Chennai Super Kings,20.0,20,2021,Chennai Super Kings
760,Australia,Ben Cutting,Kolkata Knight Riders,75.0,75,2021,Kolkata Knight Riders
761,India,Venkatesh Iyer,Kolkata Knight Riders,20.0,20,2021,Kolkata Knight Riders
762,India,Pawan Negi,Kolkata Knight Riders,50.0,50,2021,Kolkata Knight Riders
763,India,Akash Singh,Rajasthan Royals,20.0,20,2021,Rajasthan Royals
764,India,Arjun Tendulkar,Mumbai Indians,20.0,20,2021,Mumbai Indians
765, India,Shikhar Dhawan,Punjab Kings,200.0,825,2022,Punjab Kings
766, India,Ravichandran Ashwin,Rajasthan Royals,200.0,500,2022,Rajasthan Royals
767, Australia,Pat Cummins,Kolkata Knight Riders,200.0,725,2022,Kolkata Knight Riders
768, South Africa,Kagiso Rabada,Punjab Kings,200.0,925,2022,Punjab Kings
769, New Zealand,Trent Boult,Rajasthan Royals,200.0,800,2022,Rajasthan Royals
770, India,Shreyas Iyer,Kolkata Knight Riders,200.0,1225,2022,Kolkata Knight Riders
771, India,Mohammed Shami,Gujarat Titans,200.0,625,2022,Gujarat Titans
772, South Africa,Faf du Plessis,Royal Challengers Bangalore,200.0,700,2022,Royal Challengers Bengaluru
773, South Africa,Quinton de Kock,Lucknow Super Giants,200.0,675,2022,Lucknow Super Giants
774, Australia,David Warner,Delhi Capitals,200.0,625,2022,Delhi Capitals
775, India,Manish Pandey,Lucknow Super Giants,150.0,460,2022,Lucknow Super Giants
776, West Indies,Shimron Hetmyer,Rajasthan Royals,150.0,850,2022,Rajasthan Royals
777, India,Robin Uthappa,Chennai Super Kings,200.0,200,2022,Chennai Super Kings
778, England,Jason Roy,Gujarat Titans,200.0,200,2022,Gujarat Titans
779, India,Devdutt Padikkal,Rajasthan Royals,150.0,775,2022,Rajasthan Royals
780, West Indies,Dwayne Bravo,Chennai Super Kings,150.0,440,2022,Chennai Super Kings
781, India,Nitish Rana,Kolkata Knight Riders,150.0,800,2022,Kolkata Knight Riders
782, West Indies,Jason Holder,Lucknow Super Giants,150.0,875,2022,Lucknow Super Giants
783, India,Harshal Patel,Royal Challengers Bangalore,150.0,1075,2022,Royal Challengers Bengaluru
784, India,Deepak Hooda,Lucknow Super Giants,75.0,575,2022,Lucknow Super Giants
785, Sri Lanka,Wanindu Hasaranga,Royal Challengers Bangalore,100.0,1075,2022,Royal Challengers Bengaluru
786, India,Washington Sundar,Sunrisers Hyderabad,150.0,875,2022,Sunrisers Hyderabad
787, India,Krunal Pandya,Lucknow Super Giants,200.0,825,2022,Lucknow Super Giants
788, Australia,Mitchell Marsh,Delhi Capitals,200.0,650,2022,Delhi Capitals
789, India,Ambati Rayudu,Chennai Super Kings,200.0,675,2022,Chennai Super Kings
790, India,Ishan Kishan,Mumbai Indians,150.0,1525,2022,Mumbai Indians
791, England,Jonny Bairstow,Punjab Kings,100.0,675,2022,Punjab Kings
792, India,Dinesh Karthik,Royal Challengers Bangalore,200.0,550,2022,Royal Challengers Bengaluru
793, West Indies,Nicholas Pooran,Sunrisers Hyderabad,150.0,1075,2022,Sunrisers Hyderabad
794, India,T. Natarajan,Sunrisers Hyderabad,100.0,400,2022,Sunrisers Hyderabad
795, India,Deepak Chahar,Chennai Super Kings,200.0,1400,2022,Chennai Super Kings
796, India,Prasidh Krishna,Rajasthan Royals,100.0,1000,2022,Rajasthan Royals
797, New Zealand,Lockie Ferguson,Gujarat Titans,200.0,1000,2022,Gujarat Titans
798, Australia,Josh Hazlewood,Royal Challengers Bangalore,150.0,775,2022,Royal Challengers Bengaluru
799, England,Mark Wood,Lucknow Super Giants,200.0,750,2022,Lucknow Super Giants
800, India,Bhuvneshwar Kumar,Sunrisers Hyderabad,200.0,420,2022,Sunrisers Hyderabad
801, India,Shardul Thakur,Delhi Capitals,200.0,1075,2022,Delhi Capitals
802, Bangladesh,Mustafizur Rahman,Delhi Capitals,200.0,200,2022,Delhi Capitals
803, India,Kuldeep Yadav,Delhi Capitals,100.0,200,2022,Delhi Capitals
804, India,Rahul Chahar,Punjab Kings,75.0,525,2022,Punjab Kings
805, India,Yuzvendra Chahal,Rajasthan Royals,200.0,650,2022,Rajasthan Royals
806, India,Priyam Garg,Sunrisers Hyderabad,20.0,20,2022,Sunrisers Hyderabad
807, India,Abhinav Manohar Sadarangani,Gujarat Titans,20.0,260,2022,Gujarat Titans
808, South Africa,Dewald Brevis,Mumbai Indians,20.0,300,2022,Mumbai Indians
809, India,Ashwin Hebbar,Delhi Capitals,20.0,20,2022,Delhi Capitals
810, India,Rahul Tripathi,Sunrisers Hyderabad,40.0,850,2022,Sunrisers Hyderabad
811, India,Riyan Parag,Rajasthan Royals,30.0,380,2022,Rajasthan Royals
812, India,Abhishek Sharma,Sunrisers Hyderabad,20.0,650,2022,Sunrisers Hyderabad
813, India,Sarfaraz Khan,Delhi Capitals,20.0,20,2022,Delhi Capitals
814, India,M. Shahrukh Khan,Punjab Kings,40.0,900,2022,Punjab Kings
815, India,Shivam Mavi,Kolkata Knight Riders,40.0,725,2022,Kolkata Knight Riders
816, India,Rahul Tewatia,Gujarat Titans,40.0,900,2022,Gujarat Titans
817, India,Kamlesh Nagarkoti,Delhi Capitals,40.0,110,2022,Delhi Capitals
818, India,Harpreet Brar,Punjab Kings,20.0,380,2022,Punjab Kings
819, India,Shahbaz Ahmed,Royal Challengers Bangalore,30.0,240,2022,Royal Challengers Bengaluru
820, India,K. S. Bharat,Delhi Capitals,20.0,200,2022,Delhi Capitals
821, India,Anuj Rawat,Royal Challengers Bangalore,20.0,340,2022,Royal Challengers Bengaluru
822, India,Prabhsimran Singh,Punjab Kings,20.0,60,2022,Punjab Kings
823, India,Sheldon Jackson,Kolkata Knight Riders,30.0,60,2022,Kolkata Knight Riders
824, India,Jitesh Sharma,Punjab Kings,20.0,20,2022,Punjab Kings
825, India,Basil Thampi,Mumbai Indians,30.0,30,2022,Mumbai Indians
826, India,Kartik Tyagi,Sunrisers Hyderabad,20.0,400,2022,Sunrisers Hyderabad
827, India,Akash Deep,Royal Challengers Bangalore,20.0,20,2022,Royal Challengers Bengaluru
828, India,KM Asif,Chennai Super Kings,20.0,20,2022,Chennai Super Kings
829, India,Avesh Khan,Lucknow Super Giants,20.0,1000,2022,Lucknow Super Giants
830, India,Ishan Porel,Punjab Kings,20.0,25,2022,Punjab Kings
831, India,Tushar Deshpande,Chennai Super Kings,20.0,20,2022,Chennai Super Kings
832, India,Ankit Rajpoot,Lucknow Super Giants,20.0,50,2022,Lucknow Super Giants
833, Afghanistan,Noor Ahmad,Gujarat Titans,30.0,30,2022,Gujarat Titans
834, India,Murugan Ashwin,Mumbai Indians,20.0,160,2022,Mumbai Indians
835, India,K. C. Cariappa,Rajasthan Royals,20.0,30,2022,Rajasthan Royals
836, India,Shreyas Gopal,Sunrisers Hyderabad,20.0,75,2022,Sunrisers Hyderabad
837, India,Jagadeesha Suchith,Sunrisers Hyderabad,20.0,20,2022,Sunrisers Hyderabad
838, India,Ravisrinivasan Sai Kishore,Gujarat Titans,20.0,300,2022,Gujarat Titans
839, South Africa,Aiden Markram,Sunrisers Hyderabad,100.0,260,2022,Sunrisers Hyderabad
840, India,Ajinkya Rahane,Kolkata Knight Riders,100.0,100,2022,Kolkata Knight Riders
841, India,Mandeep Singh,Delhi Capitals,50.0,110,2022,Delhi Capitals
842, England,Liam Livingstone,Punjab Kings,100.0,1150,2022,Punjab Kings
843, West Indies,Dominic Drakes,Gujarat Titans,75.0,110,2022,Gujarat Titans
